bv_code,bv_label,dep_code,population_totale_bv,nb_iris,revenu_median_uc_pondere,taux_pauvrete_60_pondere,taux_chomage_pondere,ratio_interdecile_moy,taux_passoires_energetiques_pondere,nb_passoires_energetiques_estime_bv,part_logts_avant_1971_moy,nb_equipements_total_bv,nb_equip_sante_bv,nb_medecins_bv,indice_services_moy,nb_iris_zrr,score_social_pondere,score_env_pondere,score_gouvernance_pondere,score_esg_pondere,completude_moy_pct,nb_iris_incomplets,dbt_updated_at,version_modele
1,BOCAGE,79,76038.000001,52,20812.45,16.54,8.31,2.78,26.21,8346.44,38.86,2455,1099,29,50.96,52,63.73,51.71,53.92,58.28,70.4,0,2026-04-14 13:58:30.043716+00,1.0
10,SANTONES,17,97517.000001,92,21801.22,17.17,10.89,3.17,29.51,13024.62,43.50,4233,2033,37,50.97,92,61.08,46.04,49.76,54.49,67.6,0,2026-04-14 13:58:30.043716+00,1.0
11,OCEANE,17,97170.999999,47,21308.01,16.26,13.09,2.91,28.17,12821.31,36.90,4806,2289,31,73.88,47,58.43,51.43,66.81,58.78,76.4,0,2026-04-14 13:58:30.043716+00,1.0
12,PAYS ROYANNAIS,17,95685.000001,53,23478.01,13.36,12.97,3.18,26.48,12204.95,36.41,5223,2695,32,69.72,53,60.22,55.63,65.60,60.42,72.3,0,2026-04-14 13:58:30.043716+00,1.0
13,HTE SAINTONGE NORD,17,37756.000000,68,,,9.85,,31.23,5333.38,48.89,1765,838,24,32.78,68,61.79,37.74,42.54,50.97,63.5,0,2026-04-14 13:58:30.043716+00,1.0
14,HTE SAINTONGE SUD,17,32015.000000,61,,,12.44,,33.27,4751.65,53.23,1421,748,22,30.22,61,58.89,33.91,44.52,49.06,63.4,0,2026-04-14 13:58:30.043716+00,1.0
2,THOUARSAIS,79,40258.999999,39,20250.73,18.83,10.18,2.81,32.15,5952.38,49.87,1322,607,16,41.45,39,60.50,38.92,51.52,52.86,69.0,0,2026-04-14 13:58:30.043716+00,1.0
3,GATINE,79,49594.000000,61,20206.39,19.09,9.31,2.94,28.45,6401.47,52.09,1893,849,23,39.91,61,61.94,44.01,47.91,53.95,66.2,0,2026-04-14 13:58:30.043716+00,1.0
4,NIORTAIS,79,133796.000003,80,23342.99,14.46,8.96,3.07,24.90,15170.71,39.31,4817,2127,38,59.45,80,66.44,53.41,56.45,60.69,74.5,0,2026-04-14 13:58:30.043716+00,1.0
5,ST MAIXENTAIS,79,33758.999999,26,20093.71,19.55,7.13,2.89,26.66,3751.59,46.97,1023,476,7,48.02,26,64.47,48.36,46.41,55.93,66.2,0,2026-04-14 13:58:30.043716+00,1.0
6,MELLOIS,79,41969.000000,57,,,8.94,,34.84,6659.49,60.53,1736,785,19,33.00,57,62.65,35.70,50.92,52.98,63.0,0,2026-04-14 13:58:30.043716+00,1.0
7,VDSM SURGERES,17,66735.000000,49,21515.54,14.69,8.92,2.75,29.19,7731.85,39.43,2617,1500,32,59.87,49,63.05,48.88,55.00,57.50,68.4,0,2026-04-14 13:58:30.043716+00,1.0
8,VDSM ST JEAN,17,41238.000000,95,20238.74,20.07,12.89,3.05,33.24,6432.30,57.65,1801,969,32,25.98,95,57.73,32.46,38.30,46.56,64.6,0,2026-04-14 13:58:30.043716+00,1.0
9,LA ROCHELLE-RE,17,200043.000002,77,23825.89,14.85,11.44,3.27,23.88,22369.04,30.30,9882,4575,44,82.87,77,63.68,59.47,65.43,63.07,81.8,0,2026-04-14 13:58:30.043716+00,1.0
